feature,importance
 Debt ratio %,0.117321804
 Retained Earnings to Total Assets,0.10461841
 Borrowing dependency,0.08384461
 Persistent EPS in the Last Four Seasons,0.07708278
 Net worth/Assets,0.07287856
 Total debt/Total net worth,0.05848048
 Continuous interest rate (after tax),0.0543615
 Quick Ratio,0.051171854
 Total income/Total expense,0.038428817
 Net profit before tax/Paid-in capital,0.03807847
 ROA(B) before interest and depreciation after tax,0.030110354
 Accounts Receivable Turnover,0.029338498
 Net Income to Total Assets,0.024660807
 Average Collection Days,0.023487512
 Inventory/Working Capital,0.022239164
 Interest-bearing debt interest rate,0.021058837
 Net Value Per Share (A),0.020306954
 Net Value Growth Rate,0.0199371
 Cash/Total Assets,0.019630196
 Interest Coverage Ratio (Interest expense to EBIT),0.017569454
 Non-industry income and expenditure/revenue,0.017312314
 Operating profit per person,0.017165935
 After-tax net Interest Rate,0.0142421555
 Net Value Per Share (C),0.013822718
 CFO to Assets,0.012850718
